Date,Week No. ,Offer Type,Country,Vendor Name,Brand Name,Device Name,Device Capacity,Price Segmnet ,Tariff Name,Tariff Type,Tariff Segment,Upfront Cost ,Stickee TMC,Corrected TMC,Device Monthly Cost ,Tariff Term,Stickee TCO,Calculated TCO,Calculated TCO TI,Total Disc.,Total Disc. TI,Effective Price ,Effective Price TI,Cash Disc. ,Phone Plan Disc. ,Rate Plan Disc. ,W.Avg TI Disc,TI (Apple),TI (Samsung),TI (Google),Total Comp Offers ,GWP,Gift Card ,Free Susbcription ,PWP,Promotional Code 
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,No Frills 25GB,Data Plan,Premium,70,44,44,-,24,1126,1126,945,0,181,1126,764,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13 Mini,128GB,Mid Segment,Essentials 125GB,Data Plan,Ultra Premium,30,55,55,-,24,1350,1350,1169,0,181,1350,988,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,All Round iPhone 25GB,Data Plan,Premium,50,63,63,-,24,1562,1562,1381,0,181,1562,1200,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12 Mini,128GB,Mid Segment,No Frills Unlimited,Unlimited Plan,Unlimited,50,49,49,-,24,1226,1226,1045,0,181,1226,864,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 7 Pro,128GB,Premium Segment,Essentials 25GB,Data Plan,Premium,70,61,61,-,24,1534,1534,1057,336,477,1198,580,0,0,336,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S23,128GB,Mid Segment,No Frills Unlimited,Unlimited Plan,Unlimited,50,65,65,-,24,1610,1610,1452,0,158,1610,1295,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,All Rounder iPhone Unlimited,Unlimited Plan,Unlimited,30,70,70,-,24,1710,1710,1529,0,181,1710,1348,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13 Mini,128GB,Mid Segment,Essentials Unlimited,Unlimited Plan,Unlimited,30,56,56,-,24,1374,1374,1193,0,181,1374,1012,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14 Pro,128GB,Premium Segment,All Rounder iPhone 125GB,Data Plan,Ultra Premium,30,69,69,-,24,1686,1686,1505,0,181,1686,1324,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,All Rounder 5GB,Data Plan,Standard,50,36,36,-,24,914,914,773,0,141,914,632,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14+,128GB,Premium Segment,Essentials Unlimited,Unlimited Plan,Unlimited,30,56,56,-,24,1374,1374,1193,0,181,1374,1012,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13 Mini,128GB,Mid Segment,All Round iPhone 25GB,Data Plan,Premium,50,59,59,-,24,1466,1466,1285,0,181,1466,1104,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13,128GB,Mid Segment,Essentials 25GB,Data Plan,Premium,50,59,59,-,24,1466,1466,1285,0,181,1466,1104,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 11,128GB,Entry Premium Segment,No Frills 1GB,Data Plan,Standard,120,36,36,-,24,984,984,803,0,181,984,622,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A34,128GB,Entry Premium Segment,No Frills 5GB,Data Plan,Standard,70,27,27,-,24,718,718,560,0,158,718,403,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14,128GB,Mid Segment,No Frills 25GB,Data Plan,Premium,70,40,40,-,24,1030,1030,849,0,181,1030,668,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S23,128GB,Mid Segment,All Rounder 25GB,Data Plan,Premium,50,69,69,-,24,1706,1706,1548,0,158,1706,1391,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 14,128GB,Mid Segment,Essentials Unlimited Max,Unlimited Plan,Unlimited,30,55,55,-,24,1350,1350,1169,0,181,1350,988,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iSE (2022),128GB,Entry Premium Segment,All Rounder iPhone Unlimited,Unlimited Plan,Unlimited,10,60,60,-,24,1450,1450,1269,0,181,1450,1088,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 12,128GB,Mid Segment,All Round iPhone 5GB,Data Plan,Standard,60,54,54,-,24,1356,1356,1175,0,181,1356,994,0,0,0,181,166,229,66,102,,,102,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,Essentials 125GB,Data Plan,Ultra Premium,30,59,59,-,24,1446,1446,1288,0,158,1446,1131,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13,128GB,Mid Segment,Full Works iPhone,Data Plan,Ultra Premium,30,79,79,-,24,1926,1926,1745,0,181,1926,1564,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A54,128GB,Entry Premium Segment,No Frills Unlimited,Unlimited Plan,Unlimited,20,51,51,-,24,1244,1244,1086,0,158,1244,929,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,Essentials Unlimited,Unlimited Plan,Unlimited,30,62,62,-,24,1518,1518,1360,0,158,1518,1203,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iPhone 13 Mini,128GB,Mid Segment,No Frills 5GB,Data Plan,Standard,100,45,45,-,24,1180,1180,999,0,181,1180,818,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Apple,iSE (2022),128GB,Entry Premium Segment,No Frills 1GB,Data Plan,Standard,120,36,36,-,24,984,984,803,0,181,984,622,0,0,0,181,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22,128GB,Mid Segment,Essentials 25GB,Data Plan,Premium,50,57,57,-,24,1418,1418,1260,0,158,1418,1103,0,0,0,158,166,229,66,151,,,,151,
Jun 12 2023,24,Tariff,gb,EE,Samsung,A34,128GB,Entry Premium Segment,Essentials 1GB,Data Plan,Standard,80,35,29,-,24,776,776,474,144,302,632,173,0,0,144,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Google,Pixel 6a ,128GB,Entry Premium Segment,Essentials 1GB,Data Plan,Standard,70,27,27,-,24,718,718,577,0,141,718,436,0,0,0,141,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S22+,128GB,Premium Segment,All Rounder 5GB,Data Plan,Standard,100,60,60,-,24,1540,1540,1382,0,158,1540,1225,0,0,0,158,166,229,66,0,,,,,
Jun 12 2023,24,Tariff,gb,EE,Samsung,S23,128GB,Mid Segment,No Frills 5GB,Data Plan,Standard,120,53,53,-,24,1392,1392,1234,0,158,1392,1077,0,0,0,158,166,229,66,0,,,,,
